产业链,上下游,一级节点,二级节点,三级节点,四级节点,五级节点,六级节点,七级节点,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,硅棒,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,硅锭,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,硅粉,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,单晶硅,晶圆,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,多晶硅,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,氮化镓,,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,砷化镓,,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,磷化铟,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,硅胶,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,基板,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,导电胶,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,键合丝,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,引线框架,,,,,
{集成电路}产业链,上游,{集成电路}原材料,CMP抛光材料,CMP抛光液,,,,,
{集成电路}产业链,上游,{集成电路}原材料,CMP抛光材料,研磨液,,,,,
{集成电路}产业链,上游,{集成电路}原材料,CMP抛光材料,抛光垫,,,,,
{集成电路}产业链,上游,{集成电路}原材料,MO源,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,湿电子化学品,蚀刻液,,,,,
{集成电路}产业链,上游,{集成电路}原材料,印制电路板,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,溅镀靶材,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,光掩模板,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,光刻胶,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,高纯特种气体,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,高纯试剂,,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,逻辑设计工具,Synopsys Design Compiler,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,电路设计工具,Cadence,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,电路设计工具,Mentor Graphics,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,电路设计工具,Altium Designer,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,布局设计工具,Cadence Virtuoso,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,布局设计工具,Mentor Graphics Calibre,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,仿真工具,Mentor Graphics Calibre,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,仿真工具,Synopsys HSPICE,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,仿真工具,CST Studio Suite,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,仿真工具,Ansoft HFSS,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,嵌入式软件开发工具,Green Hills Software,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,嵌入式软件开发工具,Wind River Systems,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,光刻机,电子束光刻机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,光刻机,X射线光刻机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,清洗机,高压喷洗机（HPP）,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,清洗机,涡流清洗机（ECD）,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,清洗机,超声波清洗机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,离子注入机,高能量离子注入机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,离子注入机,低能量离子注入机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,镀膜设备,物理气相沉积机（PVD）,磁控溅射镀膜机,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,镀膜设备,物理气相沉积机（PVD）,电子束物理气相沉积机,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,镀膜设备,化学气相沉积机（CVD）,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,镀膜设备,原子层沉积机（ALD）,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,刻蚀机,湿法蚀刻机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,刻蚀机,干法蚀刻机,反应离子束蚀刻机（RIE）,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,刻蚀机,干法蚀刻机,电感耦合等离子体蚀刻机（ICP-RIE）,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,晶圆贴合机,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,扩散炉,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,退火炉,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,IC生产设备,CMP抛光机,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,衬底生产设备,硅片切割机,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,衬底生产设备,硅片研磨机,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,衬底生产设备,硅片倒角机,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,衬底生产设备,单晶硅生长炉,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,测试设备,芯片测试机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,测试设备,分选机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,测试设备,探针机台,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,测试设备,探针卡,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,封装设备,划刻机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,封装设备,贴片机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,封装设备,引线键合机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,封装设备,减薄机,,,,
{集成电路}产业链,上游,{集成电路}生产设备,封装测试设备,封装设备,固晶机,,,,
{集成电路}产业链,上游,{集成电路}技术支持,数字电路设计,逻辑电路设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,数字电路设计,存储芯片设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,数字电路设计,微处理器设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,模拟电路设计,信号链芯片设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,模拟电路设计,功率IC设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,模拟电路设计,射频器件设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,系统级芯片设计（soc）,通信SOC设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,系统级芯片设计（soc）,手机SOC设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,系统级芯片设计（soc）,车规级SOC设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,系统级芯片设计（soc）,物联网SOC设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,系统级芯片设计（soc）,医疗健康SOC设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,系统级芯片设计（soc）,其他SOC设计,,,,,
{集成电路}产业链,上游,{集成电路}技术支持,其他芯片设计,单片微波芯片设计,,,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路测试,,,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,传统封装,LGA封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,传统封装,PGA封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,传统封装,BGA封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,先进封装,SIP封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,先进封装,TSV封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,先进封装,Flip Chip封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,先进封装,Embedded Die Packaging嵌入式封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,先进封装,2.5D/3D封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,先进封装,Bumpping封装,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,先进封装,FIWLP,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,先进封装,FOWLP,,,
{集成电路}产业链,中游,集成电路产业,集成电路封测,集成电路封装,CIS封装,,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,ASIC,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,基带芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,固定逻辑器件,逻辑门电路,与门电路,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,固定逻辑器件,逻辑门电路,或门电路,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,固定逻辑器件,逻辑门电路,非门电路,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,固定逻辑器件,组合逻辑电路,数字运算电路,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,固定逻辑器件,组合逻辑电路,编码译码电路,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,固定逻辑器件,时序逻辑电路,寄存器,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,固定逻辑器件,时序逻辑电路,触发器,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,固定逻辑器件,时序逻辑电路,计数器,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,可编程逻辑器件（PLD）,FPGA,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,可编程逻辑器件（PLD）,复杂可编程器件（CPLD）,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,逻辑电路,其他数字电路,重定时器芯片（Retimer）,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,易失性存储芯片,SRAM,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,易失性存储芯片,DRAM,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,非易失性存储芯片,ROM,MROM,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,非易失性存储芯片,ROM,PROM,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,非易失性存储芯片,ROM,EPROM,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,非易失性存储芯片,ROM,EEPROM,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,非易失性存储芯片,Flash,NOR Flash,串行NOR Flash
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,非易失性存储芯片,Flash,NOR Flash,并行NOR Flash
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,非易失性存储芯片,Flash,NAND Flash,2D NAND Flash
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,存储芯片,非易失性存储芯片,Flash,NAND Flash,3D NAND Flash
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,NPU,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,数字信号处理芯片（DSP）,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,图像信号处理芯片（ISP）,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,微控制器（MCU）,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,人工智能处理器（APU）,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,通用处理器,CPU,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,通用处理器,GPU,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,TPU,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,数字集成电路,微处理器,DCU,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,信号链芯片,比较器,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,信号链芯片,放大器,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,信号链芯片,接口芯片,内存接口芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,信号链芯片,接口芯片,串行接口芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,信号链芯片,接口芯片,并行接口芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,信号链芯片,接口芯片,I/O接口芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,信号链芯片,数模转换器,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,信号链芯片,模数转换器,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,电源管理芯片,电源监控芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,电源管理芯片,稳压芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,电源管理芯片,充电芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,电源管理芯片,模拟开关,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,电源管理芯片,电源转换芯片,AC/DC转换芯片,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,电源管理芯片,电源转换芯片,DC/AC转换芯片,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,显示驱动芯片,LCD显示驱动芯片,LCOS显示驱动芯片
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,显示驱动芯片,LED显示驱动芯片,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,背光驱动芯片,LED背光驱动芯片,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,背光驱动芯片,LCD背光驱动芯片,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,音频驱动芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,电机驱动芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,栅极驱动芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,音圈马达驱动芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,照明驱动芯片,LED照明驱动芯片,通用LED照片驱动芯片
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,照明驱动芯片,LED照明驱动芯片,智能LED照片驱动芯片
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,功率IC,驱动芯片,照明驱动芯片,荧光灯驱动芯片,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,射频开关,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,射频功率放大器,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,基站射频器件,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,谐振器,陶瓷谐振器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,谐振器,晶体谐振器,石英晶体谐振器,双列直插式（DIP）
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,谐振器,晶体谐振器,石英晶体谐振器,表面贴装式（SMD）
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,谐振器,晶体谐振器,石英晶体谐振器,音叉晶体谐振器
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,谐振器,晶体谐振器,石英晶体谐振器,高频晶体谐振器
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,射频滤波器,SAW滤波器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,射频滤波器,BAW滤波器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,射频滤波器,FBAR滤波器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,振荡器,晶体振荡器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,振荡器,硅振荡器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,调谐器,FM/AM调谐器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,调谐器,TV调谐器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,调谐器,天线调谐器,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,手机射频器件,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,模拟集成电路,射频器件,雷达T/R芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,无线通信芯片,蜂窝移动通信芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,无线通信芯片,WIFI通信芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,无线通信芯片,Zigbee通信芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,无线通信芯片,蓝牙通信芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,无线通信芯片,定位芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,无线通信芯片,卫星信道解码芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,无线通信芯片,lora芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,有线通信芯片,电力载波芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,通信SOC,有线通信芯片,以太网通信芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,手机SOC,,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,车规级SOC,,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,音频信号处理芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,触控芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,指纹识别芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,视频编解码芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,智能卡芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,智能安全芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,打印机主控芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,IPC SOC,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,射频识别（RFID）标签芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,智能感知芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,数显仪表芯片,电能计量芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,物联网SOC,数显仪表芯片,数字万用表芯片,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,医疗健康SOC,,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,系统级芯片（soc）,其他SOC,TDDI芯片,,,
{集成电路}产业链,中游,集成电路产业,集成电路（制造）,其他芯片,单片微波芯片MMIC,,,,
{集成电路}产业链,下游,{集成电路}产品应用,新能源,电力生产清洁能源,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,新能源,新能源汽车,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,新能源,太阳能应用产品,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,信息通信,通信设备,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,信息通信,航天设备,航天器,,,,
{集成电路}产业链,下游,{集成电路}产品应用,信息通信,航天设备,卫星装备,,,,
{集成电路}产业链,下游,{集成电路}产品应用,医疗保健设备,,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,IT产品,电脑存储与外围设备,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,IT产品,办公设备,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,IT产品,电脑cpu,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,家用电器,,,,,,
{集成电路}产业链,下游,{集成电路}产品应用,智能电网,,,,,,